"X","fly","condition","runlength","position","starttime","duration"
26,"cam07_2021-03-19T10_08_06_topleft","78E06",574,59139,1974.499776,19.1319040000001
27,"cam07_2021-03-19T10_08_06_topleft","78E06",327,62612,2090.4884736,10.9339903999999
28,"cam07_2021-03-19T10_08_06_topleft","78E06",1016,65175,2176.1142272,33.8966271999998
29,"cam07_2021-03-19T10_08_06_topleft","78E06",273,66206,2210.5133184,9.10288639999999
30,"cam07_2021-03-19T10_08_06_topleft","78E06",5,70060,2339.1985408,0.169510400000035
31,"cam07_2021-03-19T10_08_06_topleft","78E06",249,70999,2370.563776,8.36593919999996
32,"cam07_2021-03-19T10_08_06_topleft","78E06",186,71256,2379.1964288,6.19979520000015
33,"cam07_2021-03-19T10_08_06_topleft","78E06",180,71452,2385.7316736,6.00014080000028
34,"cam07_2021-03-19T10_08_06_topleft","78E06",107,71636,2391.8616704,3.56788479999977
35,"cam07_2021-03-19T10_08_06_topleft","78E06",22,71838,2398.5941376,0.732006400000046
36,"cam07_2021-03-19T10_08_06_topleft","78E06",840,72680,2426.6585728,28.0960768
37,"cam07_2021-03-19T10_08_06_topleft","78E06",6,73543,2455.5225344,0.197299200000089
38,"cam07_2021-03-19T10_08_06_topleft","78E06",364,73560,2456.089152,12.1650688
39,"cam07_2021-03-19T10_08_06_topleft","78E06",3003,74812,2497.9515904,100.4567168
40,"cam07_2021-03-19T10_08_06_topleft","78E06",7729,77866,2600.1077632,258.3769984
41,"cam07_2021-03-19T10_08_06_topleft","78E06",1113,85608,2858.9171072,37.1969663999998
42,"cam07_2021-03-19T10_08_06_topleft","78E06",5,88814,2966.1406336,0.166156799999954
43,"cam07_2021-03-19T10_08_06_topleft","78E06",2,88828,2966.6074368,0.0685567999998966
44,"cam07_2021-03-19T10_08_06_topleft","78E06",6,88841,2967.040576,0.20012799999995
45,"cam07_2021-03-19T10_08_06_topleft","78E06",2269,89349,2983.9738112,75.9598975999997
46,"cam07_2021-03-19T10_08_06_topleft","78E06",1849,91631,3060.3648896,61.7607808000002
47,"cam07_2021-03-19T10_08_06_topleft","78E06",228,93486,3122.3260544,7.60119039999972
48,"cam07_2021-03-19T10_08_06_topleft","78E06",14,94615,3160.0557056,0.466316800000186
49,"cam07_2021-03-19T10_08_06_topleft","78E06",90,94656,3161.423488,2.99892480000017
